ds,ndocs,ncats,dpcavg,dpcmed,dpcstd,dpcstdavg,dpcent,wpdavg,wpdmed,wpdstd,wpdstdavg,wpdent,pca10,pca20,pca30,diffwds
20ng,3011.0,20.0,150.55,152.5,13.223,0.0878,2.7878,143.7901,86.0,315.2008,2.1921,5.5708,0.0296,0.0489,0.0646,0.1814
AGNews,51040.0,4.0,12760.0,12748.0,57.2756,0.0045,1.3863,24.3722,24.0,6.7934,0.2787,3.2124,0.023,0.0377,0.0494,0.1898
CNNAC,15178.0,8.0,1897.2500,272.5,2819.7512,1.4862,2.0794,528.5631,391.0,566.6370,1.072,6.9174,0.0596,0.0853,0.1036,0.1995
CNNAS,15169.0,39.0,388.9487,73.0,809.0039,2.080,3.5569,528.3502,391.0,565.8378,1.071,6.9173,0.0596,0.0853,0.1036,0.1995
CorTws,17981.0,5.0,3596.2,3259.0,919.1569,0.2556,1.6094,18.9253,20.0,6.4589,0.3413,3.2518,0.0287,0.0458,0.0588,0.2094
csdmc,1730.0,2.0,865.0,865.0,311.0,0.3595,0.6931,171.3954,88.0,403.1663,2.3523,5.5998,0.1026,0.1496,0.1774,0.2005
CybTws,19076.0,6.0,3179.3333,3182.0,32.8515,0.0103,1.7918,13.1192,12.0,7.5282,0.5738,3.2767,0.0481,0.0699,0.0861,0.1393
DisTws,4548.0,2.0,2274.0,2274.0,1410.0,0.6201,0.6931,10.2159,11.0,3.2435,0.3175,2.5413,0.0209,0.0378,0.0517,0.1612
F&RNS,17962.0,13.0,1381.6923,328.0,1668.5312,1.2076,2.1384,234.2137,210.0,185.7785,0.7932,6.2367,0.0476,0.0738,0.0930,0.2342
gopds,5548.0,3.0,1849.3333,1288.0,1076.0875,0.5819,1.0986,10.2882,11.0,2.8514,0.2772,2.4435,0.1012,0.1584,0.1946,0.184
HRCB,1307.0,10.0,130.7,123.5,84.5151,0.6466,2.3026,90.7873,81.0,40.4871,0.446,3.3647,0.2977,0.589,0.8455,0.1959
HRCS,150.0,26.0,5.7692,6.0,3.6617,0.6347,2.1190,54.4267,54.0,23.4314,0.4305,4.0897,0.1070,0.1968,0.2776,0.1973
imdbs,400.0,2.0,200.0,200.0,3.0,0.015,0.6931,7.1125,6.0,5.3967,0.7588,2.7718,0.0926,0.1554,0.2087,0.2008
IMDBR,20000.0,2.0,10000.0,10000.0,65.0,0.0065,0.6931,116.3865,87.0,88.4226,0.7597,5.4709,0.0214,0.0329,0.0422,0.175
LvsC,5141.0,2.0,2570.5,2570.5,764.5,0.2974,0.6931,7.8553,7.0,4.9506,0.6302,2.7936,0.0283,0.0481,0.0651,0.232
movies	,800.0,2.0,400.0,400.0,1.0,0.0025,0.6931,351.9825,323.5,157.6205,0.4478,5.87,0.0354,0.065,0.0909,0.1895
NYTAND,3730.0,39.0,95.6410,51.0,123.5296,1.2916,3.4858,27.4150,27.0,10.8519,0.3958,3.7657,0.0493,0.0774,0.0977,0.2390
NYTATM,3731.0,11.0,339.1818,59.0,707.2829,2.0853,2.3979,27.4111,27.0,10.8496,0.3958,3.7655,0.0493,0.0774,0.0976,0.2389
oh,2959.0,23.0,128.6522,94.0,120.6153,0.9375,3.0752,109.7131,108.0,41.7796,0.3808,5.0774,0.0384,0.0635,0.0836,0.3683
r8	,3068.0,8.0,383.5,123.5,521.0554,1.3587,2.0794,56.8279,39.0,59.2856,1.0432,4.8453,0.1577,0.204,0.2338,0.0808
r52,3633.0,45.0,80.7333,15.0,262.4759,3.2511,3.2056,63.0983,43.0,65.2821,1.0346,4.9619,0.1468,0.1922,0.2222,0.0833
RFJob,7152.0,2.0,3576.0,3576.0,3197.0,0.894,0.6931,76.3322,65.0,67.9066,0.8896,5.1295,0.1197,0.1557,0.1826,0.3774
Rotten,62424.0,5.0,12484.8,10869.0,10504.3311,0.8414,1.6094,3.878,3.0,3.4343,0.8856,2.1999,0.0258,0.0421,0.0549,0.2425
sen_pol,4264.0,2.0,2132.0,2132.0,21.0,0.0098,0.6931,10.303,10.0,4.6926,0.4555,2.9247,0.0247,0.0422,0.0566,0.2353
StOvQR,24000.0,3.0,8000.0,8025.0,36.7786,0.0046,1.0986,85.3097,55.0,113.3772,1.329,5.2074,0.0474,0.0723,0.0905,0.1746
TMACS,8388.0,2.0,4194.0,4194.0,788.0,0.1879,0.6931,95.0887,93.0,37.2264,0.3915,5.0019,0.0268,0.0424,0.0552,0.3847
TMAMt,8388.0,2.0,4194.0,4194.0,1910.0,0.4554,0.6931,95.0887,93.0,37.2264,0.3915,5.0019,0.0268,0.0424,0.0552,0.3847
TMASt,8388.0,2.0,4194.0,4194.0,2087.0,0.4976,0.6931,95.0887,93.0,37.2264,0.3915,5.0019,0.0268,0.0424,0.0552,0.3847
TripAd,8196.0,5.0,1639.2,884.0,1189.0582,0.7254,1.6094,97.2094,72.0,94.1666,0.9687,5.3309,0.0379,0.0577,0.0741,0.1528
wipo_l1,30099.0,114.0,264.0263,123.5,404.4089,1.5317,4.5735,63.9485,61.0,29.7861,0.4658,4.7579,0.0337,0.0531,0.0687,0.3203
wipo_l2,29966.0,789.0,37.9797,13.0,66.2454,1.7442,4.1179,63.9855,61.0,29.7894,0.4656,4.7581,0.0336,0.0531,0.0687,0.3202
yelp,400.0,2.0,200.0,200.0,3.0,0.015,0.6931,5.4325,5.0,3.1702,0.5836,2.423,0.1169,0.1841,0.2388,0.1266
NewsCat,80340.0,41.0,1959.5122,1332.0,2276.9148,1.162,3.7136,16.9412,17.0,7.0685,0.4172,3.3015,0.0177,0.029,0.0386,0.181
SuiDect,92829.0,2.0,46414.5,46414.5,17.5,0.0004,0.6931,58.6285,28.0,98.0537,1.6725,4.9242,0.0446,0.0647,0.0813,0.1253
