ds,ndocs,ncats,dpcavg,dpcmed,dpcstd,dpcstdavg,dpcent,wpdavg,wpdmed,wpdstd,wpdstdavg,wpdent,pca10,pca20,pca30,diffwds
20ng,3011.0,20.0,150.55,157.0,19.2885,0.1281,2.5105,138.55,85.0,257.3148,1.8572,5.5691,0.0289,0.0482,0.0641,0.1849
AGNews,51040.0,4.0,12760.0,12795.5,86.5246,0.0068,1.3863,24.4058,24.0,6.7946,0.2784,3.2088,0.023,0.0377,0.0495,0.1907
CNNAC,15179.0,7.0,2168.4286,372.0,2897.2031,1.3361,1.9459,539.7555,395.0,559.3590,1.0363,6.9410,0.0618,0.0878,0.1060,0.1973
CNNAS,15175.0,41.0,370.1220,64.0,783.4046,2.1166,3.5317,539.7441,395.0,559.4196,1.0365,6.9410,0.0618,0.0878,0.1060,0.1974
CorTws,17982.0,5.0,3596.4,3353.0,950.3939,0.2643,1.6094,18.9378,20.0,6.4241,0.3392,3.2491,0.0283,0.0457,0.0588,0.2087
csdmc,1731.0,2.0,865.5,865.5,308.5,0.3564,0.6931,165.2045,90.0,404.2551,2.447,5.5904,0.101,0.1451,0.1725,0.1934
CybTws,19076.0,6.0,3179.3333,3189.5,48.7602,0.0153,1.7918,13.0729,12.0,8.3881,0.6416,3.28,0.0491,0.0712,0.0876,0.1408
DisTws,4548.0,2.0,2274.0,2274.0,1452.0,0.6385,0.6931,10.2814,11.0,3.1436,0.3058,2.5049,0.0202,0.0356,0.0488,0.1592
F&RNS,17965.0,10.0,1796.5,1228.5,1699.2334,0.9459,2.3026,236.9589,212.0,191.5094,0.8082,6.2327,0.0470,0.0726,0.0919,0.2341
gopds,5548.0,3.0,1849.3333,1235.0,1114.8573,0.6028,1.0986,10.3062,11.0,2.8316,0.2747,2.439,0.0965,0.1528,0.191,0.1821
HRCB,1308.0,10.0,130.8,124.0,83.6108,0.6392,2.3026,91.3953,81.0,42.5846,0.4659,3.3543,0.3005,0.587,0.8395,0.1975
HRCS,155.0,26.0,5.9615,4.5,4.0333,0.6766,2.2674,53.8387,54.0,26.0445,0.4838,4.1900,0.1114,0.2000,0.2788,0.1885
imdbs,400.0,2.0,200.0,200.0,5.0,0.025,0.6931,7.4975,6.0,5.2297,0.6975,2.8143,0.0888,0.1505,0.2023,0.2047
IMDBR,20000.0,2.0,10000.0,10000.0,75.0,0.0075,0.6931,115.8069,86.0,86.9915,0.7512,5.4584,0.0215,0.0329,0.0422,0.1749
LvsC,5141.0,2.0,2570.5,2570.5,779.5,0.3032,0.6931,7.8804,7.0,4.8954,0.6212,2.797,0.0275,0.0472,0.0637,0.2325
movies	,800.0,2.0,400.0,400.0,1.0,0.0025,0.6931,345.6488,323.0,149.6029,0.4328,5.8368,0.0398,0.0705,0.0974,0.1879
NYTAND,3732.0,41.0,91.0244,42.0,120.2626,1.3212,3.4641,27.2572,27.0,10.6986,0.3925,3.7622,0.0476,0.0749,0.0950,0.2366
NYTATM,3734.0,11.0,339.4545,78.0,699.0328,2.0593,2.2719,27.2531,27.0,10.6974,0.3925,3.7621,0.0476,0.0749,0.0948,0.2366
